X,Y,id,left,top,right,bottom,row_index,col_index
121.3689218248,24.8333400169265,692,286789.21,2747868.6283,287789.21,2746868.6283,52,9
121.368895077171,24.8243116150059,693,286789.21,2746868.6283,287789.21,2745868.6283,53,9
121.379840797801,25.1673580595036,726,287789.21,2784868.6283,288789.21,2783868.6283,15,10
121.379812836548,25.1583300741579,727,287789.21,2783868.6283,288789.21,2782868.6283,16,10
121.379784888787,25.1493020777767,728,287789.21,2782868.6283,288789.21,2781868.6283,17,10
121.379756954516,25.140274070363,729,287789.21,2781868.6283,288789.21,2780868.6283,18,10
121.379729033728,25.1312460519197,730,287789.21,2780868.6283,288789.21,2779868.6283,19,10
121.379701126421,25.1222180224495,731,287789.21,2779868.6283,288789.21,2778868.6283,20,10
121.37967323259,25.1131899819555,732,287789.21,2778868.6283,288789.21,2777868.6283,21,10
121.37964535223,25.1041619304404,733,287789.21,2777868.6283,288789.21,2776868.6283,22,10
121.379617485337,25.0951338679071,734,287789.21,2776868.6283,288789.21,2775868.6283,23,10
121.379589631907,25.0861057943586,735,287789.21,2775868.6283,288789.21,2774868.6283,24,10
121.379561791936,25.0770777097977,736,287789.21,2774868.6283,288789.21,2773868.6283,25,10
121.379533965418,25.0680496142273,737,287789.21,2773868.6283,288789.21,2772868.6283,26,10
121.379506152351,25.0590215076503,738,287789.21,2772868.6283,288789.21,2771868.6283,27,10
121.379478352729,25.0499933900696,739,287789.21,2771868.6283,288789.21,2770868.6283,28,10
121.379450566548,25.0409652614881,740,287789.21,2770868.6283,288789.21,2769868.6283,29,10
121.379367288609,25.0138808097673,743,287789.21,2767868.6283,288789.21,2766868.6283,32,10
121.37933955615,25.0048526372113,744,287789.21,2766868.6283,288789.21,2765868.6283,33,10
121.379311837111,24.995824453669,745,287789.21,2765868.6283,288789.21,2764868.6283,34,10
121.379284131487,24.9867962591432,746,287789.21,2764868.6283,288789.21,2763868.6283,35,10
121.379256439274,24.9777680536368,747,287789.21,2763868.6283,288789.21,2762868.6283,36,10
121.379228760468,24.9687398371527,748,287789.21,2762868.6283,288789.21,2761868.6283,37,10
121.379201095064,24.9597116096938,749,287789.21,2761868.6283,288789.21,2760868.6283,38,10
121.379173443059,24.950683371263,750,287789.21,2760868.6283,288789.21,2759868.6283,39,10
121.379145804447,24.9416551218633,751,287789.21,2759868.6283,288789.21,2758868.6283,40,10
121.379118179226,24.9326268614975,752,287789.21,2758868.6283,288789.21,2757868.6283,41,10
121.379090567389,24.9235985901685,753,287789.21,2757868.6283,288789.21,2756868.6283,42,10
121.379062968934,24.9145703078792,754,287789.21,2756868.6283,288789.21,2755868.6283,43,10
121.379035383856,24.9055420146326,755,287789.21,2755868.6283,288789.21,2754868.6283,44,10
121.37900781215,24.8965137104314,756,287789.21,2754868.6283,288789.21,2753868.6283,45,10
121.378980253813,24.8874853952788,757,287789.21,2753868.6283,288789.21,2752868.6283,46,10
121.378952708839,24.8784570691775,758,287789.21,2752868.6283,288789.21,2751868.6283,47,10
121.378925177226,24.8694287321304,759,287789.21,2751868.6283,288789.21,2750868.6283,48,10
121.378897658968,24.8604003841406,760,287789.21,2750868.6283,288789.21,2749868.6283,49,10
121.378870154061,24.8513720252108,761,287789.21,2749868.6283,288789.21,2748868.6283,50,10
121.378842662501,24.842343655344,762,287789.21,2748868.6283,288789.21,2747868.6283,51,10
121.378815184285,24.8333152745431,763,287789.21,2747868.6283,288789.21,2746868.6283,52,10
121.378787719406,24.824286882811,764,287789.21,2746868.6283,288789.21,2745868.6283,53,10
121.389789633116,25.1763602382157,796,288789.21,2785868.6283,289789.21,2784868.6283,14,11
121.389760927806,25.167332274423,797,288789.21,2784868.6283,289789.21,2783868.6283,15,11
121.389732236345,25.1583042995905,798,288789.21,2783868.6283,289789.21,2782868.6283,16,11
121.38970355873,25.1492763137211,799,288789.21,2782868.6283,289789.21,2781868.6283,17,11
121.389674894956,25.1402483168177,800,288789.21,2781868.6283,289789.21,2780868.6283,18,11
121.389646245019,25.131220308883,801,288789.21,2780868.6283,289789.21,2779868.6283,19,11
121.389617608913,25.1221922899201,802,288789.21,2779868.6283,289789.21,2778868.6283,20,11
121.389588986636,25.1131642599318,803,288789.21,2778868.6283,289789.21,2777868.6283,21,11
121.389560378181,25.1041362189209,804,288789.21,2777868.6283,289789.21,2776868.6283,22,11
121.389531783546,25.0951081668904,805,288789.21,2776868.6283,289789.21,2775868.6283,23,11
121.389503202725,25.0860801038431,806,288789.21,2775868.6283,289789.21,2774868.6283,24,11
121.389474635713,25.077052029782,807,288789.21,2774868.6283,289789.21,2773868.6283,25,11
121.389446082508,25.0680239447098,808,288789.21,2773868.6283,289789.21,2772868.6283,26,11
121.389417543103,25.0589958486296,809,288789.21,2772868.6283,289789.21,2771868.6283,27,11
121.389389017495,25.0499677415441,810,288789.21,2771868.6283,289789.21,2770868.6283,28,11
121.389360505679,25.0409396234563,811,288789.21,2770868.6283,289789.21,2769868.6283,29,11
121.389332007651,25.0319114943691,812,288789.21,2769868.6283,289789.21,2768868.6283,30,11
121.389303523406,25.0228833542853,813,288789.21,2768868.6283,289789.21,2767868.6283,31,11
121.389275052941,25.0138552032079,814,288789.21,2767868.6283,289789.21,2766868.6283,32,11
121.389246596249,25.0048270411397,815,288789.21,2766868.6283,289789.21,2765868.6283,33,11
121.389218153328,24.9957988680836,816,288789.21,2765868.6283,289789.21,2764868.6283,34,11
121.389189724173,24.9867706840426,817,288789.21,2764868.6283,289789.21,2763868.6283,35,11
121.389161308779,24.9777424890195,818,288789.21,2763868.6283,289789.21,2762868.6283,36,11
121.389132907142,24.9687142830173,819,288789.21,2762868.6283,289789.21,2761868.6283,37,11
121.389104519257,24.9596860660387,820,288789.21,2761868.6283,289789.21,2760868.6283,38,11
121.389076145121,24.9506578380868,821,288789.21,2760868.6283,289789.21,2759868.6283,39,11
121.389047784728,24.9416295991645,822,288789.21,2759868.6283,289789.21,2758868.6283,40,11
121.389019438074,24.9326013492746,823,288789.21,2758868.6283,289789.21,2757868.6283,41,11
121.388991105156,24.92357308842,824,288789.21,2757868.6283,289789.21,2756868.6283,42,11
121.388962785968,24.9145448166036,825,288789.21,2756868.6283,289789.21,2755868.6283,43,11
121.388934480506,24.9055165338284,826,288789.21,2755868.6283,289789.21,2754868.6283,44,11
121.388906188766,24.8964882400973,827,288789.21,2754868.6283,289789.21,2753868.6283,45,11
